title,url,original_price,discounted_price,image_url
Penyalin Cahaya,http://www.bukabuku.com/browses/product/9786020659381/penyalin-cahaya.html,Rp. 70.000,Rp. 56.000,http://img.bukabuku.net/product_thumb/4/e/4e43eeb87e114f5609df10424ef1b5c2.jpg
Secret Mate,http://www.bukabuku.com/browses/product/9786236835432/secret-mate.html,Rp. 99.000,Rp. 89.100,http://img.bukabuku.net/product_thumb/8/b/8b1da9026f15319bbcad26ffc5999b1c.jpg
Baby Bala-Bala,http://www.bukabuku.com/browses/product/9786236835449/baby-bala-bala.html,Rp. 99.000,Rp. 89.100,http://img.bukabuku.net/product_thumb/6/e/6ec7bfddedfb08bcd063b34ace9b3b6e.jpg
Elegi Haekal [Paket Jovan],http://www.bukabuku.com/browses/product/2010001198611/elegi-haekal-[paket-jovan].html,Rp. 109.000,Rp. 87.200,http://img.bukabuku.net/product_thumb/c/6/c61390eea25eca990430862cd38cf5fb.jpg
Ana Uhibbuka Fillah,http://www.bukabuku.com/browses/product/9786239887551/ana-uhibbuka-fillah.html,Rp. 99.000,Rp. 94.050,http://img.bukabuku.net/product_thumb/4/1/417b60e6344608e056b40ee6d5ddf08b.jpg
ANNE OF GREEN GABLES (REPUBLISH 2022),http://www.bukabuku.com/browses/product/9786024412777/anne-of-green-gables-(republish-2022).html,Rp. 89.000,Rp. 71.200,http://img.bukabuku.net/product_thumb/2/0/201610211ae90065a8fb3d65759a1794.jpg
Petualangan Di Luar Angkasa,http://www.bukabuku.com/browses/product/9786239869373/petualangan-di-luar-angkasa.html,Rp. 69.000,Rp. 55.200,http://img.bukabuku.net/product_thumb/e/a/ea3a0e5756bf555f6f992174d373cb92.jpg
Hidup Bersama Al-Quran 2: Moderasi dan pembelajaran Transformatif,http://www.bukabuku.com/browses/product/9786235375014/hidup-bersama-al-quran-2-moderasi-dan-pembelajaran-transformatif.html,Rp. 120.000,Rp. 90.000,http://img.bukabuku.net/product_thumb/c/c/cc9afde27656706ea90d099b9a57f304.jpg
Broken Badly [Paket DIA],http://www.bukabuku.com/browses/product/2010001197751/broken-badly-[paket-dia].html,Rp. 89.000,Rp. 71.200,http://img.bukabuku.net/product_thumb/7/9/798bcb46f63d468e166064e32fd99e19.jpg
Broken Badly [Paket HIM ],http://www.bukabuku.com/browses/product/9786232423275/broken-badly-[paket-him-].html,Rp. 74.000,Rp. 59.200,http://img.bukabuku.net/product_thumb/a/d/ad0847d8bdff851d9d62a0a79c1cce87.jpg
Ichigo Ichie,http://www.bukabuku.com/browses/product/9786236083338/ichigo-ichie.html,Rp. 89.000,Rp. 66.750,http://img.bukabuku.net/product_thumb/e/f/efc804f1db0cd2221d74b508773c42cf.jpg
SALETTA,http://www.bukabuku.com/browses/product/2010001197461/saletta.html,Rp. 99.900,Rp. 94.905,http://img.bukabuku.net/product_thumb/2/0/20ea49c4c9f5e111097f8aebeb8d8692.jpg
PECI MIRING,http://www.bukabuku.com/browses/product/9786027926622/peci-miring.html,Rp. 120.000,Rp. 96.000,http://img.bukabuku.net/product_thumb/0/f/0f0b195ee17100ad225975362def269e.jpg
The Chronicles of Narnia #1: The Magician`s Nephew (Keponakan Penyihir),http://www.bukabuku.com/browses/product/9786020336398/the-chronicles-of-narnia-1-the-magician`s-nephew-(keponakan-penyihir).html,Rp. 65.000,Rp. 52.000,http://img.bukabuku.net/product_thumb/9/9/9911baa7c15599f5227d3c802b196b38.jpg
THe Haze Inside,http://www.bukabuku.com/browses/product/9786232791398/the-haze-inside.html,Rp. 95.000,Rp. 80.750,http://img.bukabuku.net/product_thumb/2/6/26be51bb8ce7a886503de0992762e6d8.jpg
TEA BLENDING,http://www.bukabuku.com/browses/product/9789790066694/tea-blending.html,Rp. 168.000,Rp. 142.800,http://img.bukabuku.net/product_thumb/9/e/9e1fd9dc9d29497b063f7cf5b60c6157.jpg
The Nectar of Pain,http://www.bukabuku.com/browses/product/9786020528205/the-nectar-of-pain.html,Rp. 150.000,Rp. 120.000,http://img.bukabuku.net/product_thumb/d/1/d1ad2e348027f4196dc24da6d236bf9b.jpg
"Mariposa 2 Antara Kupu-kupu, Sapi, Dan Semut (part 2)",http://www.bukabuku.com/browses/product/9786236456118/mariposa-2-antara-kupu-kupu-sapi-dan-semut-(part-2).html,Rp. 155.000,Rp. 139.500,http://img.bukabuku.net/product_thumb/1/5/158f2ac1d15f8bbbf980899010550ef5.jpg
Mariposa 2 Kupu-kupu Dan Bunga Matahari (part 1),http://www.bukabuku.com/browses/product/9786236456101/mariposa-2-kupu-kupu-dan-bunga-matahari-(part-1).html,Rp. 155.000,Rp. 139.500,http://img.bukabuku.net/product_thumb/d/c/dc7d8dd7aa9a01f5090e4e9a9e6a861d.jpg
Off The Record 3,http://www.bukabuku.com/browses/product/9786020653365/off-the-record-3.html,Rp. 120.000,Rp. 96.000,http://img.bukabuku.net/product_thumb/e/1/e1f800d9526fcc7b0946253dfe5a4d16.jpg
Ulysses Moore: Misteri Di Labirin,http://www.bukabuku.com/browses/product/9786024673369/ulysses-moore-misteri-di-labirin.html,Rp. 99.000,Rp. 74.250,http://img.bukabuku.net/product_thumb/9/c/9cc241332d37cdba16c763ffe7e23b22.jpg
GAMALIEL,http://www.bukabuku.com/browses/product/9786233100656/gamaliel.html,Rp. 99.500,Rp. 79.600,http://img.bukabuku.net/product_thumb/b/f/bf23779a693d760953143e9b516da584.jpg
Black Angel Mafia,http://www.bukabuku.com/browses/product/9786239710378/black-angel-mafia.html,Rp. 99.000,Rp. 79.200,http://img.bukabuku.net/product_thumb/6/8/68a5a6975df36473540c0bc0dad4acda.jpg
Menikmati Kepergianmu,http://www.bukabuku.com/browses/product/2010001201557/menikmati-kepergianmu.html,Rp. 77.500,Rp. 58.125,http://img.bukabuku.net/product_thumb/4/2/42c1a83b164c6aadf62df498a9721da0.jpg
Psikologi Kesepian,http://www.bukabuku.com/browses/product/9786026486707/psikologi-kesepian.html,Rp. 75.000,Rp. 67.500,http://img.bukabuku.net/product_thumb/f/8/f883dd4be0ecacfa55bf3fd107728f03.jpg
